veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg,incremental price,,,,,,,,,,,,,,,,,
127,GENERAL MOTORS,Chevrolet,Malibu Hybrid,9,MIDSIZE CARS,C,G,46.9,26750,35.7228,1907,38.58,-824.5,,,,,,,,,,,,,,,,,
128,GENERAL MOTORS,Chevrolet,Trailblazer 2WD,12,SUV,T,G,49,27055,20.91986698,42089,24.78,7270.45035,,,,,,,,,,,,,,,,,
129,GENERAL MOTORS,Chevrolet,Trailblazer 4WD,12,SUV,T,G,49,29214,20.30270915,66614,23.96,7110.631842,,,,,,,,,,,,,,,,,
130,Chrysler/Fiat,Chrysler,300 AWD,5,LARGE CARS,C,G,52.54166667,37065,23.21112051,5490,24.06,-1941.871988,,,,,,,,,,,,,,,,,
131,Chrysler/Fiat,Chrysler,300/SRT-8,5,LARGE CARS,C,G,52.54166667,29088,25.99944755,70805,25.88,266.2881446,,,,,,,,,,,,,,,,,
132,Chrysler/Fiat,Chrysler,Crossfire Coupe,1,TWO SEATERS,C,G,38.6859375,36322,26.34684263,821,26.35,-712.2,,,,,,,,,,,,,,,,,
133,Chrysler/Fiat,Chrysler,Crossfire Roadster,1,TWO SEATERS,C,G,38.6859375,40856,26.40494811,827,26.40,-801.1,,,,,,,,,,,,,,,,,
134,Chrysler/Fiat,Chrysler,Generic Mini Car,7,SUBCOMPACT CARS,C,G,40.80169774,26105,36.33965625,1,36.34,-511.86,,,,,,,,,,,,,,,,,
135,Chrysler/Fiat,Chrysler,PT Cruiser,13,SUV,C,G,41.48611111,20264,27.62446086,65485,27.47,-1988.877468,,,,,,,,,,,,,,,,,
136,Chrysler/Fiat,Chrysler,Sebring,9,MIDSIZE CARS,C,G,46.73625,20150,30.93735622,50458,31.49,212.0765467,,,,,,,,,,,,,,,,,
137,Chrysler/Fiat,Chrysler,Sebring Convertible,2,SUBCOMPACT CARS,C,G,46.73625,29742,26.69114643,45930,26.95,-8.031667436,,,,,,,,,,,,,,,,,
138,Chrysler/Fiat,Chrysler,Town & Country 2WD,15,MINIVAN,T,G,54.62416667,27873,24.36350616,151248,24.36,751.8903681,,,,,,,,,,,,,,,,,
